Communication_number,Social_unit,Part_exchange,Gesture_start_time,Duration_analysis_include,Mau_end_time,Outcome_time,Outcome,Sgn_ID,Rcp_ID,Signaller_age,Recipient_age,Goal_anon
320243a,Issa,1_2,14.246,Include,15.843,18.009,TimeExcludeRecipient,ID_142,ID_64,11,24,Goal_12
320345,Issa,1_1,1.88,Include,4.051,4.455,GoalRecipient,ID_142,ID_64,11,24,Goal_7
320351,Issa,1_1,29.903,Include,31.617,31.617,GoalRecipient,ID_142,ID_64,12,25,Goal_7
320151,Issa,1_1,6.583,Include,8.219,8.454,GoalRecipient,ID_142,ID_64,13,26,Goal_7
320015,Issa,Unclear,13.02,Exclude,13.955,13.02,Exclude,ID_142,Multiple individuals,13,NA,Goal_9
320259,Issa,1_1,6.385,Include,7.606,9.541,GoalAmbiguous,ID_142,ID_241,11,11,NA
320259,Issa,1_1,0.983,Include,2.567,9.541,GoalAmbiguous,ID_142,ID_241,11,11,NA
310029,Kalinzu,1_1,157.528,Include,158.956,159.236,GoalRecipient,ID_143,ID_27,NA,NA,Goal_7
310144,Kalinzu,Unclear,1127.163,Include,1128.718,1132.866,GoalRecipient,ID_143,ID_27,NA,NA,Goal_7
310029,Kalinzu,1_1,156.261,Include,157.61,159.236,GoalRecipient,ID_143,ID_27,NA,NA,Goal_7
310090,Kalinzu,Unclear,79.551,ExcludeStart,81.467,83.696,GoalRecipient,ID_143,ID_27,NA,NA,Goal_10
310031a,Kalinzu,1_2,61.182,Include,61.579,61.573,GoalSignaller,ID_143,ID_52,NA,NA,Goal_21
310031a,Kalinzu,1_2,59.67,Include,60.508,61.573,GoalSignaller,ID_143,ID_52,NA,NA,Goal_21
310187,Kalinzu,1_1,56.308,Include,60.565,61.003,GoalRecipient,ID_143,J,NA,NA,Goal_7
310038a,Kalinzu,Unclear,2.227,Include,2.465,2.829,TimeExcludeAmbiguous,ID_143,ID_102,NA,13,Goal_12
300880,Waibira,Unclear,7.665,Include,8.704,7.665,Exclude,ID_144,ID_28,1,6,NA
300879,Waibira,Unclear,2.264,Include,3.674,4.704,GoalRecipient,ID_144,ID_28,1,6,NA
300687,Waibira,1_1,42.485,Include,43.36,44.827,GoalRecipient,ID_144,ID_133,1,7,Goal_7
300883,Waibira,1_1,12.109,Include,14.97,26.904,TimeExcludeSignaller,ID_144,ID_146,2,37,Goal_31
300884,Waibira,1_1,62.985,Include,64.982,62.985,Exclude,ID_144,ID_146,2,37,Goal_18
300883,Waibira,1_1,18.594,Include,19.15,26.904,TimeExcludeSignaller,ID_144,ID_146,2,37,Goal_31
300884,Waibira,1_1,71.883,Include,75.607,62.985,Exclude,ID_144,ID_146,2,37,Goal_18
300883,Waibira,1_1,23.612,Include,26.084,26.904,TimeExcludeSignaller,ID_144,ID_146,2,37,Goal_31
300883,Waibira,1_1,2.723,Include,5.523,26.904,TimeExcludeSignaller,ID_144,ID_146,2,37,Goal_31
100113,Sonso,1_1,11.04,Include,11.8,28.24,OtherSignaller,ID_145,ID_266,19,35,Goal_22
100113,Sonso,1_1,5.44,Include,6.28,28.24,OtherSignaller,ID_145,ID_266,19,35,Goal_22
100113,Sonso,1_1,11.08,Include,11.68,28.24,OtherSignaller,ID_145,ID_266,19,35,Goal_22
100113,Sonso,1_1,1.92,ExcludeStart,3.48,28.24,OtherSignaller,ID_145,ID_266,19,35,Goal_22
100113,Sonso,1_1,5.2,Include,8.819,28.24,OtherSignaller,ID_145,ID_266,19,35,Goal_22
100610p1,Sonso,1_1,21.84,Exclude,23.76,NA,NoValue,ID_145,Dead chimp,16,NA,Goal_25
100610p2,Sonso,1_1,7.88,Include,8.68,13.76,Exclude,ID_145,Dead chimp,16,NA,Goal_25
100610p2,Sonso,1_1,12.48,Exclude,13.76,13.76,Exclude,ID_145,Dead chimp,16,NA,Goal_25
100611,Sonso,1_1,5.04,Include,5.84,10.52,Exclude,ID_145,Dead chimp,16,NA,Goal_25
100610p2,Sonso,1_1,11.56,Include,12.48,13.76,Exclude,ID_145,Dead chimp,16,NA,Goal_25
100611,Sonso,1_1,8.08,Include,8.96,10.52,Exclude,ID_145,Dead chimp,16,NA,Goal_25
100611,Sonso,1_1,6.92,ExcludeEnd,8.08,10.52,Exclude,ID_145,Dead chimp,16,NA,Goal_25
100610p2,Sonso,1_1,11.16,Include,11.88,13.76,Exclude,ID_145,Dead chimp,16,NA,Goal_25
100610p2,Sonso,1_1,8.68,Include,10.24,13.76,Exclude,ID_145,Dead chimp,16,NA,Goal_25
100610p2,Sonso,1_1,10.92,Include,11.56,13.76,Exclude,ID_145,Dead chimp,16,NA,Goal_25
100611,Sonso,1_1,9.04,Include,9.64,10.52,Exclude,ID_145,Dead chimp,16,NA,Goal_25
102216a,Sonso,1_2,10.08,Include,12.08,17.48,TimeExcludeAmbiguous,ID_145,ID_48,17,10,Goal_12
102229b,Sonso,2_2,5.16,Include,6.64,7.4,GoalRecipient,ID_145,ID_48,17,10,Goal_11
100702,Sonso,1_1,1.12,Include,6.92,10.6,GoalRecipient,ID_145,ID_60,16,15,Goal_11
100367b,Sonso,2_2,10.76,Include,11.64,11.68,Exclude,ID_145,ID_60,20,19,Goal_9
100311ap1,Sonso,1_2,19.76,Include,20.16,47.08,Exclude,ID_145,ID_75,20,14,Goal_2
100311ap1,Sonso,1_2,11.8,Include,13.4,47.08,Exclude,ID_145,ID_75,20,14,Goal_2
100311ap1,Sonso,1_2,9.24,Include,10.24,47.08,Exclude,ID_145,ID_75,20,14,Goal_2
100311ap2,Sonso,1_2,7.04,Include,8.6,16.52,Exclude,ID_145,ID_75,20,14,Goal_2
100311ap1,Sonso,1_2,0.8,Include,1.16,47.08,Exclude,ID_145,ID_75,20,14,Goal_2
100311ap2,Sonso,1_2,4.32,Include,5.64,16.52,Exclude,ID_145,ID_75,20,14,Goal_2
100311ap1,Sonso,1_2,33.96,Exclude,35.28,47.08,Exclude,ID_145,ID_75,20,14,Goal_2
